IUCN_Category,Species,Country,Value
Number of vulnerable indigenous species,Invertebrates,Lithuania,22
Total number of indigenous threatened species,Mammals,Lithuania,7
Total number of indigenous threatened species,Birds,Lithuania,56
Total number of indigenous threatened species,Reptiles,Lithuania,2
Total number of indigenous threatened species,Amphibians,Lithuania,4
Total number of indigenous threatened species,Vascular plants,Lithuania,130
Total number of indigenous threatened species,Mosses,Lithuania,48
Total number of indigenous threatened species,Lichens,Lithuania,43
Total number of indigenous threatened species,Invertebrates,Lithuania,89
Threatened species as % of known species,Mammals,Lithuania,10.294
Threatened species as % of known species,Birds,Lithuania,14.396
Threatened species as % of known species,Reptiles,Lithuania,28.571
Threatened species as % of known species,Vascular plants,Lithuania,9.745
Threatened species as % of known species,Mosses,Lithuania,10.213
Threatened species as % of known species,Lichens,Lithuania,17.2
Threatened species as % of known species,Invertebrates,Lithuania,0.356
Threatened indigenous species as % of indigenous spec.,Mammals,Lithuania,11.864
Threatened indigenous species as % of indigenous spec.,Birds,Lithuania,15.217
Threatened indigenous species as % of indigenous spec.,Reptiles,Lithuania,28.571
Threatened indigenous species as % of indigenous spec.,Vascular plants,Lithuania,16.539
Number of endangered indigenous species,Mammals,Australia,38
Number of endangered indigenous species,Amphibians,Australia,10
Number of endangered indigenous species,Vascular plants,Australia,555
Number of endangered indigenous species,Invertebrates,Australia,22
Number of critically endangered indigenous species,Mammals,Australia,10
Number of critically endangered indigenous species,Amphibians,Australia,15
Number of critically endangered indigenous species,Vascular plants,Australia,198
Number of critically endangered indigenous species,Invertebrates,Australia,30
Number of vulnerable indigenous species,Mammals,Australia,59
Number of vulnerable indigenous species,Amphibians,Australia,12
Number of vulnerable indigenous species,Vascular plants,Australia,588
Number of vulnerable indigenous species,Mosses,Australia,1
Number of vulnerable indigenous species,Invertebrates,Australia,13
Total number of indigenous threatened species,Mammals,Australia,107
Total number of indigenous threatened species,Birds,Australia,135
Total number of indigenous threatened species,Reptiles,Australia,61
Total number of indigenous threatened species,Amphibians,Australia,37
Total number of indigenous threatened species,Vascular plants,Australia,1341
Total number of indigenous threatened species,Mosses,Australia,1
Total number of indigenous threatened species,Invertebrates,Australia,65
Threatened indigenous species as % of indigenous spec.,Mammals,Australia,30.747
Threatened indigenous species as % of indigenous spec.,Birds,Australia,17.471
Threatened indigenous species as % of indigenous spec.,Reptiles,Australia,5.843
Threatened indigenous species as % of indigenous spec.,Amphibians,Australia,15.678
Threatened indigenous species as % of indigenous spec.,Vascular plants,Australia,7.608
Threatened indigenous species as % of indigenous spec.,Mosses,Australia,0.056
Total number of known species,Mosses,Austria,1016
Total number of known species,Lichens,Austria,2100
Total number of known species,Invertebrates,Austria,45244
Total number of indigenous known species,Mosses,Austria,1016
Total number of indigenous known species,Lichens,Austria,2100
Total number of indigenous known species,Invertebrates,Austria,45244
Number of endangered species,Mosses,Austria,69
Number of endangered species,Lichens,Austria,135
Number of endangered species,Invertebrates,Austria,310
Number of critically endangered species,Mosses,Austria,34
Number of critically endangered species,Lichens,Austria,57
Number of critically endangered species,Invertebrates,Austria,302
Number of vulnerable species,Mosses,Austria,135
Number of vulnerable species,Lichens,Austria,251
Number of vulnerable species,Invertebrates,Austria,356
Total number of threatened species,Mosses,Austria,238
Total number of threatened species,Lichens,Austria,443
Total number of threatened species,Invertebrates,Austria,968
Number of endangered indigenous species,Mosses,Austria,69
Number of endangered indigenous species,Lichens,Austria,135
Number of endangered indigenous species,Invertebrates,Austria,310
Number of critically endangered indigenous species,Mosses,Austria,34
Number of critically endangered indigenous species,Lichens,Austria,57
Number of critically endangered indigenous species,Invertebrates,Austria,302
Number of vulnerable indigenous species,Mosses,Austria,135
Number of vulnerable indigenous species,Lichens,Austria,251
Number of vulnerable indigenous species,Invertebrates,Austria,356
Total number of indigenous threatened species,Mosses,Austria,238
Total number of indigenous threatened species,Lichens,Austria,443
Total number of indigenous threatened species,Invertebrates,Austria,968
Threatened species as % of known species,Mosses,Austria,23.425
Threatened species as % of known species,Lichens,Austria,21.095
Threatened species as % of known species,Invertebrates,Austria,2.14
Threatened indigenous species as % of indigenous spec.,Mosses,Austria,23.425
Threatened indigenous species as % of indigenous spec.,Lichens,Austria,21.095
Threatened indigenous species as % of indigenous spec.,Invertebrates,Austria,2.14
Total number of known species,Invertebrates,France,1060
Number of endangered species,Invertebrates,France,22
Number of critically endangered species,Vascular plants,France,51
Number of critically endangered species,Invertebrates,France,18
Number of vulnerable species,Invertebrates,France,179
Total number of threatened species,Invertebrates,France,219
Threatened species as % of known species,Vascular plants,France,8.45
Threatened species as % of known species,Invertebrates,France,20.66
Number of endangered indigenous species,Invertebrates,Ireland,51
Number of critically endangered indigenous species,Invertebrates,Ireland,28
Number of vulnerable indigenous species,Invertebrates,Ireland,100
Total number of indigenous threatened species,Invertebrates,Ireland,179
Total number of known species,Mosses,Italy,1209
Total number of known species,Lichens,Italy,2704
Total number of threatened species,Mosses,Italy,237
Total number of threatened species,Lichens,Italy,153
Threatened species as % of known species,Mosses,Italy,20.274
Threatened species as % of known species,Lichens,Italy,5.658
Total number of known species,Invertebrates,Turkey,20636
Total number of known species,Lichens,Canada,857
Total number of indigenous known species,Lichens,Canada,856
Number of critically endangered species,Mosses,Canada,75
Number of critically endangered species,Lichens,Canada,70
Number of critically endangered indigenous species,Mosses,Canada,75
Number of critically endangered indigenous species,Lichens,Canada,70
Threatened species as % of known species,Lichens,Canada,21.47
Threatened indigenous species as % of indigenous spec.,Lichens,Canada,21.495
Number of critically endangered species,Vascular plants,Hungary,115
Number of critically endangered indigenous species,Vascular plants,Hungary,115
Total number of known species,Lichens,Turkey,1000
Total number of threatened species,Invertebrates,Turkey,89
Threatened species as % of known species,Invertebrates,Turkey,0.431
Total number of known species,Amphibians,Brazil,877
Threatened species as % of known species,Amphibians,Brazil,4.333
Total number of known species,Invertebrates,Canada,19938
Total number of indigenous known species,Invertebrates,Canada,18908
Number of endangered species,Invertebrates,Canada,295
Number of critically endangered species,Invertebrates,Canada,205
Number of vulnerable species,Invertebrates,Canada,765
Total number of threatened species,Invertebrates,Canada,1265
Number of endangered indigenous species,Invertebrates,Canada,295
Number of critically endangered indigenous species,Invertebrates,Canada,205
Number of vulnerable indigenous species,Invertebrates,Canada,765
Total number of indigenous threatened species,Invertebrates,Canada,1265
Threatened species as % of known species,Invertebrates,Canada,6.345
Threatened indigenous species as % of indigenous spec.,Invertebrates,Canada,6.69
Total number of known species,Mosses,Hungary,659
Total number of known species,Lichens,Hungary,715
Total number of known species,Invertebrates,Hungary,87
Total number of indigenous known species,Mosses,Hungary,657
Total number of indigenous known species,Lichens,Hungary,715
Total number of indigenous known species,Invertebrates,Hungary,87
Number of endangered species,Mosses,Hungary,90
Number of endangered species,Lichens,Hungary,44
Number of endangered species,Invertebrates,Hungary,7
Number of critically endangered species,Mosses,Hungary,20
Number of critically endangered species,Lichens,Hungary,24
Number of critically endangered species,Invertebrates,Hungary,9
Number of vulnerable species,Mosses,Hungary,63
Number of vulnerable species,Lichens,Hungary,45
Number of vulnerable species,Invertebrates,Hungary,8
Total number of threatened species,Mosses,Hungary,173
Total number of threatened species,Lichens,Hungary,113
Total number of threatened species,Invertebrates,Hungary,24
Number of endangered indigenous species,Mosses,Hungary,90
Number of endangered indigenous species,Lichens,Hungary,44
Number of endangered indigenous species,Invertebrates,Hungary,7
Number of critically endangered indigenous species,Mosses,Hungary,20
Number of critically endangered indigenous species,Lichens,Hungary,24
Number of critically endangered indigenous species,Invertebrates,Hungary,9
Number of vulnerable indigenous species,Mosses,Hungary,63
Number of vulnerable indigenous species,Lichens,Hungary,45
Number of vulnerable indigenous species,Invertebrates,Hungary,8
Total number of indigenous threatened species,Mosses,Hungary,173
Total number of indigenous threatened species,Lichens,Hungary,113
Total number of indigenous threatened species,Invertebrates,Hungary,24
Threatened species as % of known species,Mosses,Hungary,26.252
Threatened species as % of known species,Lichens,Hungary,15.804
Threatened species as % of known species,Invertebrates,Hungary,27.586
Threatened indigenous species as % of indigenous spec.,Mosses,Hungary,26.332
Threatened indigenous species as % of indigenous spec.,Lichens,Hungary,15.804
Threatened indigenous species as % of indigenous spec.,Invertebrates,Hungary,27.586
Number of critically endangered species,Invertebrates,Luxembourg,7
Total number of known species,Mosses,United Kingdom,805
Threatened species as % of known species,Mosses,United Kingdom,15.28
Number of critically endangered species,Birds,Lithuania,19
Number of critically endangered species,Vascular plants,Lithuania,23
Number of critically endangered species,Mosses,Lithuania,9
Number of critically endangered species,Lichens,Lithuania,24
Number of critically endangered species,Invertebrates,Lithuania,13
Number of critically endangered indigenous species,Birds,Lithuania,19
Number of critically endangered indigenous species,Vascular plants,Lithuania,23
Number of critically endangered indigenous species,Mosses,Lithuania,9
Number of critically endangered indigenous species,Lichens,Lithuania,24
Number of critically endangered indigenous species,Invertebrates,Lithuania,13
Threatened species as % of known species,Amphibians,Lithuania,15.385
Threatened indigenous species as % of indigenous spec.,Amphibians,Lithuania,15.385
Total number of indigenous known species,Mosses,Czech Republic,892
Total number of indigenous known species,Lichens,Czech Republic,1526
Number of endangered indigenous species,Mosses,Czech Republic,88
Number of endangered indigenous species,Lichens,Czech Republic,186
Number of critically endangered indigenous species,Mosses,Czech Republic,70
Number of critically endangered indigenous species,Lichens,Czech Republic,136
Number of vulnerable indigenous species,Mosses,Czech Republic,93
Number of vulnerable indigenous species,Lichens,Czech Republic,247
Total number of indigenous threatened species,Mosses,Czech Republic,251
Total number of indigenous threatened species,Lichens,Czech Republic,569
Threatened indigenous species as % of indigenous spec.,Mosses,Czech Republic,28.139
Threatened indigenous species as % of indigenous spec.,Lichens,Czech Republic,37.287
Number of endangered species,Mosses,Chile,4
Number of critically endangered species,Mosses,Chile,1
Number of vulnerable species,Mosses,Chile,4
Total number of threatened species,Mosses,Chile,9
Number of endangered indigenous species,Mosses,Chile,4
Number of critically endangered indigenous species,Mosses,Chile,1
Number of vulnerable indigenous species,Mosses,Chile,4
Total number of indigenous threatened species,Mosses,Chile,9
Threatened species as % of known species,Mosses,Chile,0.189
Threatened indigenous species as % of indigenous spec.,Mosses,Chile,0.192
Total number of indigenous known species,Lichens,Colombia,69
Number of endangered species,Lichens,Colombia,0
Number of critically endangered species,Lichens,Colombia,0
Number of vulnerable species,Lichens,Colombia,0
Total number of threatened species,Lichens,Colombia,0
Number of endangered indigenous species,Mosses,Colombia,1
Number of endangered indigenous species,Lichens,Colombia,0
Number of critically endangered indigenous species,Mosses,Colombia,3
Number of critically endangered indigenous species,Lichens,Colombia,0
Number of vulnerable indigenous species,Mosses,Colombia,18
Number of vulnerable indigenous species,Lichens,Colombia,0
Total number of indigenous threatened species,Mosses,Colombia,22
Total number of indigenous threatened species,Lichens,Colombia,0
Threatened species as % of known species,Lichens,Colombia,0
Threatened indigenous species as % of indigenous spec.,Lichens,Colombia,0
Total number of known species,Mosses,Costa Rica,4
Number of endangered species,Invertebrates,Costa Rica,13
Number of critically endangered species,Invertebrates,Costa Rica,3
Number of vulnerable species,Mosses,Costa Rica,2
Number of vulnerable species,Invertebrates,Costa Rica,15
Total number of threatened species,Mosses,Costa Rica,2
Total number of threatened species,Invertebrates,Costa Rica,31
Threatened species as % of known species,Mosses,Costa Rica,50
Threatened species as % of known species,Invertebrates,Costa Rica,7.69
Total number of threatened species,Invertebrates,Russia,38
Total number of indigenous known species,Invertebrates,Czech Republic,32627
Number of endangered indigenous species,Invertebrates,Czech Republic,1173
Number of critically endangered indigenous species,Invertebrates,Czech Republic,1014
Number of vulnerable indigenous species,Invertebrates,Czech Republic,1339
Total number of indigenous threatened species,Invertebrates,Czech Republic,3526
Total number of known species,Mosses,Denmark,452
Total number of indigenous known species,Mosses,Denmark,447
Total number of indigenous known species,Lichens,Denmark,993
Total number of indigenous known species,Invertebrates,Denmark,3904
Number of endangered species,Mosses,Denmark,13
Number of critically endangered species,Mosses,Denmark,5
Number of vulnerable species,Mosses,Denmark,33
Total number of threatened species,Mosses,Denmark,51
Number of endangered indigenous species,Mosses,Denmark,13
Number of endangered indigenous species,Lichens,Denmark,50
Number of endangered indigenous species,Invertebrates,Denmark,179
Number of critically endangered indigenous species,Mosses,Denmark,5
Number of critically endangered indigenous species,Lichens,Denmark,84
Number of critically endangered indigenous species,Invertebrates,Denmark,104
Number of vulnerable indigenous species,Mosses,Denmark,33
Number of vulnerable indigenous species,Lichens,Denmark,87
Number of vulnerable indigenous species,Invertebrates,Denmark,319
Total number of indigenous threatened species,Reptiles,Denmark,1
Total number of indigenous threatened species,Mosses,Denmark,51
Total number of indigenous threatened species,Lichens,Denmark,221
Total number of indigenous threatened species,Invertebrates,Denmark,602
Number of critically endangered species,Mosses,Japan,137
Number of critically endangered species,Lichens,Japan,43
Number of critically endangered species,Invertebrates,Japan,22
Total number of indigenous known species,Invertebrates,Korea,1716
Total number of known species,Mosses,Mexico,1000
Total number of indigenous known species,Mosses,Mexico,77
Number of endangered species,Mosses,Mexico,0
Number of critically endangered species,Mosses,Mexico,0
Number of critically endangered species,Invertebrates,Mexico,1
Total number of threatened species,Mosses,Mexico,2
Number of endangered indigenous species,Mosses,Mexico,0
Number of critically endangered indigenous species,Mosses,Mexico,0
Number of critically endangered indigenous species,Invertebrates,Mexico,1
Number of vulnerable indigenous species,Mosses,Mexico,0
Number of critically endangered species,Lichens,Chile,1
Number of vulnerable species,Lichens,Chile,1
Total number of threatened species,Lichens,Chile,2
Number of critically endangered indigenous species,Lichens,Chile,1
Number of vulnerable indigenous species,Lichens,Chile,1
Total number of indigenous threatened species,Lichens,Chile,2
Number of critically endangered species,Mammals,Costa Rica,1
